 &plot nbnd= 200, nks=    31 /
            0.000000  0.000000  0.000000
  -23.483  -23.072  -22.742  -22.728  -22.693  -22.511  -22.447  -21.676  -21.397  -21.371
  -21.360  -21.214  -21.213  -21.032  -20.901  -20.898  -20.834  -20.511  -20.497  -20.131
  -20.109  -20.080  -20.051  -18.708  -16.665  -14.737  -14.270  -14.254  -14.196  -14.152
  -14.114  -14.005  -13.925  -13.824  -13.810  -13.669  -13.518  -12.469  -12.366  -12.334
  -12.310  -12.101  -12.074  -11.960  -11.777  -11.736  -11.665  -11.583  -11.427  -11.020
  -10.710  -10.637  -10.593  -10.508  -10.442  -10.355  -10.202  -10.070  -10.060  -10.050
  -10.026   -9.911   -9.891   -9.873   -9.845   -9.835   -9.818   -9.809   -9.806   -9.732
   -9.513   -9.498   -9.255   -9.001   -8.469   -8.440   -8.403   -8.343   -8.230   -8.218
   -8.201   -8.191   -8.071   -8.031   -7.921   -7.664   -7.615   -7.523   -7.514   -7.468
   -7.292   -7.112   -6.747   -6.734   -6.333   -6.303   -6.259   -6.255   -5.986   -4.955
   -1.738   -1.150   -1.081   -1.080   -1.057   -1.019   -0.931   -0.332   -0.234   -0.089
   -0.084   -0.036   -0.017    0.053    0.062    0.067    0.089    0.103    0.143    0.213
    0.882    0.889    0.890    0.906    0.912    0.931    1.042    1.162    1.175    1.194
    1.221    1.406    1.533    2.203    2.381    2.388    2.389    2.403    2.413    2.439
    2.516    2.531    2.537    2.543    2.580    2.589    3.024    3.041    3.050    3.077
    3.088    3.166    3.211    3.223    3.258    3.405    3.415    3.513    3.588    3.678
    3.683    3.689    3.690    3.696    4.107    4.339    4.596    4.649    4.661    4.667
    4.671    4.722    4.780    4.816    4.822    4.826    4.827    4.833    4.838    4.848
    4.861    4.862    4.873    4.878    4.888    4.888    4.928    4.930    4.942    4.945
    4.997    5.060    5.096    5.122    5.345    5.514    5.641    5.817    5.900    5.943
            0.049872  0.028836  0.000000
  -23.481  -23.075  -22.778  -22.711  -22.676  -22.508  -22.436  -21.683  -21.447  -21.387
  -21.309  -21.228  -21.186  -21.035  -20.930  -20.876  -20.818  -20.511  -20.492  -20.139
  -20.111  -20.079  -20.051  -18.708  -16.666  -14.738  -14.273  -14.255  -14.195  -14.149
  -14.108  -14.038  -13.920  -13.860  -13.782  -13.638  -13.475  -12.523  -12.411  -12.363
  -12.255  -12.123  -12.038  -11.975  -11.808  -11.742  -11.628  -11.558  -11.392  -11.017
  -10.762  -10.658  -10.563  -10.528  -10.397  -10.320  -10.223  -10.117  -10.093  -10.039
  -10.006   -9.998   -9.905   -9.875   -9.856   -9.827   -9.796   -9.786   -9.770   -9.689
   -9.528   -9.475   -9.224   -8.996   -8.498   -8.467   -8.410   -8.326   -8.308   -8.224
   -8.219   -8.128   -8.054   -7.986   -7.917   -7.693   -7.617   -7.565   -7.500   -7.438
   -7.276   -7.095   -6.751   -6.738   -6.351   -6.303   -6.273   -6.243   -5.984   -4.957
   -1.735   -1.146   -1.079   -1.073   -1.054   -1.016   -0.927   -0.361   -0.244   -0.194
   -0.115   -0.039    0.017    0.027    0.045    0.075    0.150    0.163    0.171    0.276
    0.795    0.846    0.866    0.924    0.957    0.983    1.025    1.113    1.178    1.183
    1.283    1.418    1.569    2.206    2.279    2.334    2.341    2.358    2.402    2.457
    2.473    2.520    2.549    2.574    2.713    2.739    3.001    3.023    3.051    3.064
    3.088    3.165    3.189    3.206    3.273    3.406    3.426    3.495    3.539    3.551
    3.655    3.690    3.824    3.850    4.108    4.342    4.570    4.578    4.625    4.654
    4.664    4.673    4.689    4.714    4.719    4.773    4.805    4.817    4.853    4.867
    4.877    4.882    4.919    4.922    4.933    4.941    4.972    5.010    5.025    5.033
    5.045    5.093    5.142    5.144    5.350    5.517    5.640    5.807    5.857    5.912
            0.099745  0.057673  0.000000
  -23.477  -23.084  -22.821  -22.712  -22.640  -22.496  -22.409  -21.703  -21.519  -21.403
  -21.277  -21.226  -21.146  -21.051  -20.940  -20.871  -20.780  -20.509  -20.481  -20.159
  -20.123  -20.075  -20.050  -18.709  -16.668  -14.744  -14.286  -14.255  -14.198  -14.151
  -14.108  -14.061  -13.943  -13.889  -13.730  -13.570  -13.369  -12.635  -12.473  -12.432
  -12.240  -12.122  -12.068  -11.929  -11.848  -11.734  -11.594  -11.470  -11.310  -11.010
  -10.854  -10.717  -10.536  -10.522  -10.314  -10.286  -10.274  -10.192  -10.162  -10.059
  -10.048   -9.979   -9.946   -9.878   -9.848   -9.839   -9.796   -9.741   -9.721   -9.609
   -9.522   -9.436   -9.148   -8.978   -8.557   -8.536   -8.438   -8.415   -8.293   -8.234
   -8.224   -8.113   -7.985   -7.908   -7.904   -7.754   -7.620   -7.597   -7.525   -7.374
   -7.234   -7.053   -6.766   -6.748   -6.386   -6.330   -6.278   -6.238   -5.979   -4.963
   -1.726   -1.137   -1.073   -1.057   -1.041   -1.005   -0.913   -0.451   -0.298   -0.239
   -0.191   -0.143   -0.021    0.025    0.090    0.128    0.223    0.245    0.309    0.386
    0.698    0.792    0.817    0.860    0.948    1.021    1.046    1.127    1.184    1.188
    1.327    1.475    1.645    2.158    2.181    2.214    2.216    2.292    2.324    2.517
    2.526    2.561    2.576    2.666    2.889    2.906    2.952    2.971    3.003    3.065
    3.105    3.145    3.165    3.165    3.311    3.352    3.402    3.427    3.472    3.619
    3.661    3.698    3.990    4.019    4.112    4.350    4.363    4.499    4.518    4.565
    4.569    4.604    4.607    4.680    4.748    4.766    4.831    4.843    4.856    4.875
    4.878    4.897    4.910    4.935    4.958    5.022    5.052    5.074    5.095    5.103
    5.211    5.217    5.252    5.318    5.373    5.523    5.633    5.740    5.780    5.781
            0.149617  0.086509  0.000000
  -23.470  -23.097  -22.861  -22.719  -22.606  -22.470  -22.370  -21.734  -21.592  -21.425
  -21.270  -21.223  -21.098  -21.068  -20.919  -20.872  -20.737  -20.503  -20.467  -20.184
  -20.144  -20.072  -20.049  -18.710  -16.670  -14.753  -14.307  -14.275  -14.220  -14.144
  -14.099  -14.065  -13.947  -13.906  -13.657  -13.492  -13.231  -12.759  -12.582  -12.482
  -12.291  -12.206  -12.059  -11.904  -11.805  -11.697  -11.568  -11.353  -11.211  -10.998
  -10.949  -10.791  -10.542  -10.482  -10.421  -10.339  -10.203  -10.198  -10.177  -10.095
  -10.071  -10.031   -9.909   -9.892   -9.859   -9.826   -9.794   -9.717   -9.639   -9.593
   -9.456   -9.387   -9.066   -8.928   -8.627   -8.626   -8.523   -8.484   -8.267   -8.240
   -8.233   -8.106   -7.964   -7.894   -7.821   -7.781   -7.624   -7.605   -7.555   -7.309
   -7.178   -6.998   -6.792   -6.762   -6.430   -6.373   -6.293   -6.237   -5.971   -4.971
   -1.712   -1.120   -1.065   -1.044   -1.008   -0.987   -0.886   -0.566   -0.369   -0.289
   -0.245   -0.214   -0.066   -0.022    0.158    0.216    0.299    0.325    0.460    0.513
    0.604    0.715    0.764    0.794    0.843    1.078    1.093    1.162    1.199    1.204
    1.372    1.558    1.729    2.010    2.025    2.090    2.228    2.248    2.275    2.547
    2.561    2.612    2.636    2.788    2.809    2.895    2.981    3.055    3.066    3.094
    3.110    3.113    3.144    3.159    3.243    3.284    3.358    3.425    3.540    3.675
    3.690    3.711    4.117    4.135    4.181    4.197    4.334    4.359    4.372    4.471
    4.505    4.545    4.588    4.699    4.733    4.799    4.812    4.864    4.876    4.881
    4.901    4.910    4.941    4.970    5.025    5.067    5.097    5.158    5.190    5.211
    5.296    5.310    5.422    5.448    5.535    5.557    5.597    5.623    5.643    5.678
            0.199489  0.115345  0.000000
  -23.460  -23.115  -22.896  -22.728  -22.575  -22.432  -22.323  -21.773  -21.664  -21.452
  -21.270  -21.235  -21.110  -21.019  -20.880  -20.869  -20.696  -20.493  -20.454  -20.215
  -20.173  -20.071  -20.047  -18.711  -16.673  -14.766  -14.346  -14.319  -14.227  -14.118
  -14.111  -14.045  -13.937  -13.881  -13.577  -13.410  -13.082  -12.880  -12.702  -12.540
  -12.372  -12.290  -12.128  -11.830  -11.747  -11.636  -11.527  -11.232  -11.116  -11.036
  -10.980  -10.859  -10.666  -10.477  -10.423  -10.408  -10.229  -10.229  -10.171  -10.098
